Quantity,Digi-Key Part Number,Customer Reference
3,587-5917-1-ND,C101 C106 C502
14,587-3712-1-ND,1u 0402 x14
4,490-12538-1-ND,C104 C203 C411 C503
18,1276-1001-1-ND,100n 0402 x18
11,490-10702-1-ND,47n 0402 x11
2,490-5922-1-ND,C310 C414
2,490-4516-1-ND,C311 C314
1,1276-1455-1-ND,C313
1,490-GRM1555C1H182JA01DCT-ND,C317
2,1276-1178-1-ND,C318 C319
1,490-1288-1-ND,C320
1,311-1009-1-ND,C321
1,490-5932-1-ND,C322
3,490-3102-1-ND,C323 C325 C326
1,490-11231-1-ND,C324
1,490-1297-1-ND,C401
1,490-GCM1555C1H911FA16JCT-ND,C505
1,311-1021-1-ND,C506
1,SMF6.5A-TPMSCT-ND,D101
1,160-1446-1-ND,D201
1,535-AANI-AP-0158-1-ND,J401
1,478-046844713002846+CT-ND,J501
1,828-BMV080-10PC-ND,J501
2,490-6830-1-ND,L301 L306
2,490-1148-1-ND,L302 L305
1,490-6817-1-ND,L303
1,490-6787-1-ND,L304
2,490-6792-1-ND,L307 L308
1,490-6804-1-ND,L401
1,490-1138-1-ND,L402
1,490-12065-1-ND,L403
1,M10136-ND,L501
2,DMG3401LSN-7DICT-ND,Q101 Q102
3,311-100KLRCT-ND,R101 R103 R104
6,311-10.0KLRCT-ND,R102 R201 R401 R402 R403 R501
1,311-1.00KLRCT-ND,R202
2,311-4.7KLRCT-ND,R203 R204
1,311-56.0KLRCT-ND,R301
1,YAG3021CT-ND,R302
2,311-0.0JRCT-ND,R404 R405
1,401-1999-1-ND,SW101
1,1597-114993120-ND,U201
1,296-38892-1-ND,U301
1,1649-SCD40-D-R2CT-ND,U501
1,AS3935-BQFTCT-ND,U502
2,828-BME688CT-ND,U503 U504
1,478-CX3225SB40000D0FPLCCCT-ND,X301
1,4289-UCF4031035LK005000-26MDKCT-ND,X401
1,114-FC3215AN32.768K-C5NN60KC5CT-ND,X402
